metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
lit-7plus,national,IN,2001,muslim,59.17,population_age_7_plus_excluding_age_not_stated,,,,census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2001 literacy definition (same C-9 table family as 2011).,false
lit-7plus,national,IN,2001,hindu,65.1333,population_age_7_plus_excluding_age_not_stated,,,,census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2001 literacy definition (same C-9 table family as 2011).,false
lit-7plus,national,IN,2001,christian,80.2946,population_age_7_plus_excluding_age_not_stated,,,,census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2001 literacy definition (same C-9 table family as 2011).,false
lit-7plus,national,IN,2001,sikh,69.559,population_age_7_plus_excluding_age_not_stated,,,,census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2001 literacy definition (same C-9 table family as 2011).,false
lit-7plus,national,IN,2001,buddhist,72.6989,population_age_7_plus_excluding_age_not_stated,,,,census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2001 literacy definition (same C-9 table family as 2011).,false
lit-7plus,national,IN,2001,jain,94.1378,population_age_7_plus_excluding_age_not_stated,,,,census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2001 literacy definition (same C-9 table family as 2011).,false
lit-7plus,national,IN,2001,other,47.0228,population_age_7_plus_excluding_age_not_stated,,,,census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2001 literacy definition (same C-9 table family as 2011).,false
lit-7plus,national,IN,2001,all,64.879,population_age_7_plus_excluding_age_not_stated,,,,census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2001 literacy definition (same C-9 table family as 2011).,false
lit-7plus,national,IN,2011,muslim,68.5883,population_age_7_plus_excluding_age_not_stated,,,,census-india-2011,sources/census-2011/c-series/c09-education-by-religion.xlsx,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2011 literacy definition.,false
lit-7plus,national,IN,2011,hindu,73.3078,population_age_7_plus_excluding_age_not_stated,,,,census-india-2011,sources/census-2011/c-series/c09-education-by-religion.xlsx,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2011 literacy definition.,false
lit-7plus,national,IN,2011,christian,84.5578,population_age_7_plus_excluding_age_not_stated,,,,census-india-2011,sources/census-2011/c-series/c09-education-by-religion.xlsx,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2011 literacy definition.,false
lit-7plus,national,IN,2011,sikh,75.4086,population_age_7_plus_excluding_age_not_stated,,,,census-india-2011,sources/census-2011/c-series/c09-education-by-religion.xlsx,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2011 literacy definition.,false
lit-7plus,national,IN,2011,buddhist,81.3125,population_age_7_plus_excluding_age_not_stated,,,,census-india-2011,sources/census-2011/c-series/c09-education-by-religion.xlsx,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2011 literacy definition.,false
lit-7plus,national,IN,2011,jain,94.9165,population_age_7_plus_excluding_age_not_stated,,,,census-india-2011,sources/census-2011/c-series/c09-education-by-religion.xlsx,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2011 literacy definition.,false
lit-7plus,national,IN,2011,other,59.9059,population_age_7_plus_excluding_age_not_stated,,,,census-india-2011,sources/census-2011/c-series/c09-education-by-religion.xlsx,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2011 literacy definition.,false
lit-7plus,national,IN,2011,all,73.0182,population_age_7_plus_excluding_age_not_stated,,,,census-india-2011,sources/census-2011/c-series/c09-education-by-religion.xlsx,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2011 literacy definition.,false
lit-7plus,state,IN-S01,2001,muslim,47.3686,population_age_7_plus_excluding_age_not_stated,,,,census-india-2001,sources/census-2001/c-series/c09-education-by-religion.xls,canonicalize-lit-7plus-v2.0.0-20260529T051729Z,(Literate - Literate_age_not_stated) / (Total - 0-6 - Age_not_stated) * 100. Matches published Census 2001 literacy definition (same C-9 table family as 2011).,false
