metric_id,geography_level,geography_code,year,religion,sex,residence,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
salaried-share,national,IN,2023,muslim,all,all,18.0,all_workers_usual_status_ps_ss,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-salaried-share-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 49 (pages 401-402). Share of workers in 'regular wage/salary' employment, rural+urban, both sexes. Other categories: self-employed, casual labour. Reference period: Jul 2023 - Jun 2024.",false
salaried-share,national,IN,2023,muslim,all,urban,32.7,all_workers_usual_status_ps_ss,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-salaried-share-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 49 (pages 401-402). Share of workers in 'regular wage/salary' employment, urban, both sexes. Other categories: self-employed, casual labour. Reference period: Jul 2023 - Jun 2024.",false
salaried-share,national,IN,2023,muslim,all,rural,11.0,all_workers_usual_status_ps_ss,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-salaried-share-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 49 (pages 401-402). Share of workers in 'regular wage/salary' employment, rural, both sexes. Other categories: self-employed, casual labour. Reference period: Jul 2023 - Jun 2024.",false
salaried-share,national,IN,2023,muslim,male,all,20.8,all_workers_usual_status_ps_ss,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-salaried-share-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 49 (pages 401-402). Share of workers in 'regular wage/salary' employment, rural+urban, males. Other categories: self-employed, casual labour. Reference period: Jul 2023 - Jun 2024.",false
salaried-share,national,IN,2023,muslim,male,urban,33.6,all_workers_usual_status_ps_ss,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-salaried-share-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 49 (pages 401-402). Share of workers in 'regular wage/salary' employment, urban, males. Other categories: self-employed, casual labour. Reference period: Jul 2023 - Jun 2024.",false
salaried-share,national,IN,2023,muslim,male,rural,13.5,all_workers_usual_status_ps_ss,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-salaried-share-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 49 (pages 401-402). Share of workers in 'regular wage/salary' employment, rural, males. Other categories: self-employed, casual labour. Reference period: Jul 2023 - Jun 2024.",false
salaried-share,national,IN,2023,muslim,female,all,10.9,all_workers_usual_status_ps_ss,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-salaried-share-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 49 (pages 401-402). Share of workers in 'regular wage/salary' employment, rural+urban, females. Other categories: self-employed, casual labour. Reference period: Jul 2023 - Jun 2024.",false
salaried-share,national,IN,2023,muslim,female,urban,29.1,all_workers_usual_status_ps_ss,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-salaried-share-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 49 (pages 401-402). Share of workers in 'regular wage/salary' employment, urban, females. Other categories: self-employed, casual labour. Reference period: Jul 2023 - Jun 2024.",false
salaried-share,national,IN,2023,muslim,female,rural,5.6,all_workers_usual_status_ps_ss,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-salaried-share-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 49 (pages 401-402). Share of workers in 'regular wage/salary' employment, rural, females. Other categories: self-employed, casual labour. Reference period: Jul 2023 - Jun 2024.",false
salaried-share,national,IN,2023,hindu,all,all,21.9,all_workers_usual_status_ps_ss,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-salaried-share-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 49 (pages 401-402). Share of workers in 'regular wage/salary' employment, rural+urban, both sexes. Other categories: self-employed, casual labour. Reference period: Jul 2023 - Jun 2024.",false
salaried-share,national,IN,2023,hindu,all,urban,50.0,all_workers_usual_status_ps_ss,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-salaried-share-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 49 (pages 401-402). Share of workers in 'regular wage/salary' employment, urban, both sexes. Other categories: self-employed, casual labour. Reference period: Jul 2023 - Jun 2024.",false
salaried-share,national,IN,2023,hindu,all,rural,12.7,all_workers_usual_status_ps_ss,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-salaried-share-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 49 (pages 401-402). Share of workers in 'regular wage/salary' employment, rural, both sexes. Other categories: self-employed, casual labour. Reference period: Jul 2023 - Jun 2024.",false
salaried-share,national,IN,2023,hindu,male,all,25.3,all_workers_usual_status_ps_ss,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-salaried-share-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 49 (pages 401-402). Share of workers in 'regular wage/salary' employment, rural+urban, males. Other categories: self-employed, casual labour. Reference period: Jul 2023 - Jun 2024.",false
